"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Total period of fertility rate","1974","40 - 44 years","South-West","%",""
"Total period of fertility rate","1974","40 - 44 years","West","%",""
"Total period of fertility rate","1974","40 - 44 years","Ireland","%",""
"Total period of fertility rate","1974","45 - 49 years","Border","%",""
"Total period of fertility rate","1974","45 - 49 years","Dublin","%",""
"Total period of fertility rate","1974","45 - 49 years","Mid-East","%",""
"Total period of fertility rate","1974","45 - 49 years","Midland","%",""
"Total period of fertility rate","1974","45 - 49 years","Mid-West","%",""
"Total period of fertility rate","1974","45 - 49 years","South-East","%",""
"Total period of fertility rate","1974","45 - 49 years","South-West","%",""
"Total period of fertility rate","1974","45 - 49 years","West","%",""
"Total period of fertility rate","1974","45 - 49 years","Ireland","%",""
"Total period of fertility rate","1975","All ages","Border","%",""
"Total period of fertility rate","1975","All ages","Dublin","%",""
"Total period of fertility rate","1975","All ages","Mid-East","%",""
"Total period of fertility rate","1975","All ages","Midland","%",""
"Total period of fertility rate","1975","All ages","Mid-West","%",""
"Total period of fertility rate","1975","All ages","South-East","%",""
"Total period of fertility rate","1975","All ages","South-West","%",""
"Total period of fertility rate","1975","All ages","West","%",""
"Total period of fertility rate","1975","All ages","Ireland","%","3.4"
"Total period of fertility rate","1975","15 - 19 years","Border","%",""
"Total period of fertility rate","1975","15 - 19 years","Dublin","%",""
"Total period of fertility rate","1975","15 - 19 years","Mid-East","%",""
"Total period of fertility rate","1975","15 - 19 years","Midland","%",""
"Total period of fertility rate","1975","15 - 19 years","Mid-West","%",""
"Total period of fertility rate","1975","15 - 19 years","South-East","%",""
"Total period of fertility rate","1975","15 - 19 years","South-West","%",""
"Total period of fertility rate","1975","15 - 19 years","West","%",""
"Total period of fertility rate","1975","15 - 19 years","Ireland","%",""
"Total period of fertility rate","1975","20 - 24 years","Border","%",""
"Total period of fertility rate","1975","20 - 24 years","Dublin","%",""
"Total period of fertility rate","1975","20 - 24 years","Mid-East","%",""
"Total period of fertility rate","1975","20 - 24 years","Midland","%",""
"Total period of fertility rate","1975","20 - 24 years","Mid-West","%",""
"Total period of fertility rate","1975","20 - 24 years","South-East","%",""
"Total period of fertility rate","1975","20 - 24 years","South-West","%",""
"Total period of fertility rate","1975","20 - 24 years","West","%",""
"Total period of fertility rate","1975","20 - 24 years","Ireland","%",""
"Total period of fertility rate","1975","25 - 29 years","Border","%",""
"Total period of fertility rate","1975","25 - 29 years","Dublin","%",""
"Total period of fertility rate","1975","25 - 29 years","Mid-East","%",""
"Total period of fertility rate","1975","25 - 29 years","Midland","%",""
"Total period of fertility rate","1975","25 - 29 years","Mid-West","%",""
