"Statistic Label","Year","Age Group","NUTS 3 Region","UNIT","VALUE"
"Age specific fertility rates","1971","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1971","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1971","45 - 49 years","Midland","%",""
"Age specific fertility rates","1971","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1971","45 - 49 years","South-East","%",""
"Age specific fertility rates","1971","45 - 49 years","South-West","%",""
"Age specific fertility rates","1971","45 - 49 years","West","%",""
"Age specific fertility rates","1971","45 - 49 years","Ireland","%","3.3"
"Age specific fertility rates","1972","All ages","Border","%",""
"Age specific fertility rates","1972","All ages","Dublin","%",""
"Age specific fertility rates","1972","All ages","Mid-East","%",""
"Age specific fertility rates","1972","All ages","Midland","%",""
"Age specific fertility rates","1972","All ages","Mid-West","%",""
"Age specific fertility rates","1972","All ages","South-East","%",""
"Age specific fertility rates","1972","All ages","South-West","%",""
"Age specific fertility rates","1972","All ages","West","%",""
"Age specific fertility rates","1972","All ages","Ireland","%",""
"Age specific fertility rates","1972","15 - 19 years","Border","%",""
"Age specific fertility rates","1972","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1972","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1972","15 - 19 years","Midland","%",""
"Age specific fertility rates","1972","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1972","15 - 19 years","South-East","%",""
"Age specific fertility rates","1972","15 - 19 years","South-West","%",""
"Age specific fertility rates","1972","15 - 19 years","West","%",""
"Age specific fertility rates","1972","15 - 19 years","Ireland","%","21.3"
"Age specific fertility rates","1972","20 - 24 years","Border","%",""
"Age specific fertility rates","1972","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1972","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1972","20 - 24 years","Midland","%",""
"Age specific fertility rates","1972","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1972","20 - 24 years","South-East","%",""
"Age specific fertility rates","1972","20 - 24 years","South-West","%",""
"Age specific fertility rates","1972","20 - 24 years","West","%",""
"Age specific fertility rates","1972","20 - 24 years","Ireland","%","152.1"
"Age specific fertility rates","1972","25 - 29 years","Border","%",""
"Age specific fertility rates","1972","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1972","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1972","25 - 29 years","Midland","%",""
"Age specific fertility rates","1972","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1972","25 - 29 years","South-East","%",""
"Age specific fertility rates","1972","25 - 29 years","South-West","%",""
"Age specific fertility rates","1972","25 - 29 years","West","%",""
"Age specific fertility rates","1972","25 - 29 years","Ireland","%","241.5"
"Age specific fertility rates","1972","30 - 34 years","Border","%",""
"Age specific fertility rates","1972","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1972","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1972","30 - 34 years","Midland","%",""
"Age specific fertility rates","1972","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1972","30 - 34 years","South-East","%",""
"Age specific fertility rates","1972","30 - 34 years","South-West","%",""
"Age specific fertility rates","1972","30 - 34 years","West","%",""
"Age specific fertility rates","1972","30 - 34 years","Ireland","%","187.6"
"Age specific fertility rates","1972","35 - 39 years","Border","%",""
"Age specific fertility rates","1972","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1972","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1972","35 - 39 years","Midland","%",""
"Age specific fertility rates","1972","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1972","35 - 39 years","South-East","%",""
"Age specific fertility rates","1972","35 - 39 years","South-West","%",""
"Age specific fertility rates","1972","35 - 39 years","West","%",""
"Age specific fertility rates","1972","35 - 39 years","Ireland","%","125.7"
"Age specific fertility rates","1972","40 - 44 years","Border","%",""
"Age specific fertility rates","1972","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1972","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1972","40 - 44 years","Midland","%",""
"Age specific fertility rates","1972","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1972","40 - 44 years","South-East","%",""
"Age specific fertility rates","1972","40 - 44 years","South-West","%",""
"Age specific fertility rates","1972","40 - 44 years","West","%",""
"Age specific fertility rates","1972","40 - 44 years","Ireland","%","43.4"
"Age specific fertility rates","1972","45 - 49 years","Border","%",""
"Age specific fertility rates","1972","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1972","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1972","45 - 49 years","Midland","%",""
"Age specific fertility rates","1972","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1972","45 - 49 years","South-East","%",""
"Age specific fertility rates","1972","45 - 49 years","South-West","%",""
"Age specific fertility rates","1972","45 - 49 years","West","%",""
"Age specific fertility rates","1972","45 - 49 years","Ireland","%","3.4"
"Age specific fertility rates","1973","All ages","Border","%",""
"Age specific fertility rates","1973","All ages","Dublin","%",""
"Age specific fertility rates","1973","All ages","Mid-East","%",""
"Age specific fertility rates","1973","All ages","Midland","%",""
"Age specific fertility rates","1973","All ages","Mid-West","%",""
"Age specific fertility rates","1973","All ages","South-East","%",""
"Age specific fertility rates","1973","All ages","South-West","%",""
"Age specific fertility rates","1973","All ages","West","%",""
"Age specific fertility rates","1973","All ages","Ireland","%",""
"Age specific fertility rates","1973","15 - 19 years","Border","%",""
"Age specific fertility rates","1973","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1973","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1973","15 - 19 years","Midland","%",""
"Age specific fertility rates","1973","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1973","15 - 19 years","South-East","%",""
"Age specific fertility rates","1973","15 - 19 years","South-West","%",""
"Age specific fertility rates","1973","15 - 19 years","West","%",""
"Age specific fertility rates","1973","15 - 19 years","Ireland","%","22.4"
"Age specific fertility rates","1973","20 - 24 years","Border","%",""
"Age specific fertility rates","1973","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1973","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1973","20 - 24 years","Midland","%",""
"Age specific fertility rates","1973","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1973","20 - 24 years","South-East","%",""
"Age specific fertility rates","1973","20 - 24 years","South-West","%",""
"Age specific fertility rates","1973","20 - 24 years","West","%",""
"Age specific fertility rates","1973","20 - 24 years","Ireland","%","149.9"
"Age specific fertility rates","1973","25 - 29 years","Border","%",""
"Age specific fertility rates","1973","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1973","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1973","25 - 29 years","Midland","%",""
"Age specific fertility rates","1973","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1973","25 - 29 years","South-East","%",""
"Age specific fertility rates","1973","25 - 29 years","South-West","%",""
"Age specific fertility rates","1973","25 - 29 years","West","%",""
"Age specific fertility rates","1973","25 - 29 years","Ireland","%","235"
"Age specific fertility rates","1973","30 - 34 years","Border","%",""
"Age specific fertility rates","1973","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1973","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1973","30 - 34 years","Midland","%",""
"Age specific fertility rates","1973","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1973","30 - 34 years","South-East","%",""
"Age specific fertility rates","1973","30 - 34 years","South-West","%",""
"Age specific fertility rates","1973","30 - 34 years","West","%",""
"Age specific fertility rates","1973","30 - 34 years","Ireland","%","181.2"
"Age specific fertility rates","1973","35 - 39 years","Border","%",""
"Age specific fertility rates","1973","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1973","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1973","35 - 39 years","Midland","%",""
"Age specific fertility rates","1973","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1973","35 - 39 years","South-East","%",""
"Age specific fertility rates","1973","35 - 39 years","South-West","%",""
"Age specific fertility rates","1973","35 - 39 years","West","%",""
"Age specific fertility rates","1973","35 - 39 years","Ireland","%","115.6"
"Age specific fertility rates","1973","40 - 44 years","Border","%",""
"Age specific fertility rates","1973","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1973","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1973","40 - 44 years","Midland","%",""
"Age specific fertility rates","1973","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1973","40 - 44 years","South-East","%",""
"Age specific fertility rates","1973","40 - 44 years","South-West","%",""
"Age specific fertility rates","1973","40 - 44 years","West","%",""
"Age specific fertility rates","1973","40 - 44 years","Ireland","%","41.3"
"Age specific fertility rates","1973","45 - 49 years","Border","%",""
"Age specific fertility rates","1973","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1973","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1973","45 - 49 years","Midland","%",""
"Age specific fertility rates","1973","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1973","45 - 49 years","South-East","%",""
"Age specific fertility rates","1973","45 - 49 years","South-West","%",""
"Age specific fertility rates","1973","45 - 49 years","West","%",""
"Age specific fertility rates","1973","45 - 49 years","Ireland","%","2.7"
"Age specific fertility rates","1974","All ages","Border","%",""
"Age specific fertility rates","1974","All ages","Dublin","%",""
"Age specific fertility rates","1974","All ages","Mid-East","%",""
"Age specific fertility rates","1974","All ages","Midland","%",""
"Age specific fertility rates","1974","All ages","Mid-West","%",""
"Age specific fertility rates","1974","All ages","South-East","%",""
"Age specific fertility rates","1974","All ages","South-West","%",""
"Age specific fertility rates","1974","All ages","West","%",""
"Age specific fertility rates","1974","All ages","Ireland","%",""
"Age specific fertility rates","1974","15 - 19 years","Border","%",""
"Age specific fertility rates","1974","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1974","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1974","15 - 19 years","Midland","%",""
"Age specific fertility rates","1974","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1974","15 - 19 years","South-East","%",""
"Age specific fertility rates","1974","15 - 19 years","South-West","%",""
"Age specific fertility rates","1974","15 - 19 years","West","%",""
"Age specific fertility rates","1974","15 - 19 years","Ireland","%","22.6"
"Age specific fertility rates","1974","20 - 24 years","Border","%",""
"Age specific fertility rates","1974","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1974","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1974","20 - 24 years","Midland","%",""
"Age specific fertility rates","1974","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1974","20 - 24 years","South-East","%",""
"Age specific fertility rates","1974","20 - 24 years","South-West","%",""
"Age specific fertility rates","1974","20 - 24 years","West","%",""
"Age specific fertility rates","1974","20 - 24 years","Ireland","%","145.4"
"Age specific fertility rates","1974","25 - 29 years","Border","%",""
"Age specific fertility rates","1974","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1974","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1974","25 - 29 years","Midland","%",""
"Age specific fertility rates","1974","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1974","25 - 29 years","South-East","%",""
"Age specific fertility rates","1974","25 - 29 years","South-West","%",""
"Age specific fertility rates","1974","25 - 29 years","West","%",""
"Age specific fertility rates","1974","25 - 29 years","Ireland","%","229.5"
"Age specific fertility rates","1974","30 - 34 years","Border","%",""
"Age specific fertility rates","1974","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1974","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1974","30 - 34 years","Midland","%",""
"Age specific fertility rates","1974","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1974","30 - 34 years","South-East","%",""
"Age specific fertility rates","1974","30 - 34 years","South-West","%",""
"Age specific fertility rates","1974","30 - 34 years","West","%",""
"Age specific fertility rates","1974","30 - 34 years","Ireland","%","171.9"
"Age specific fertility rates","1974","35 - 39 years","Border","%",""
"Age specific fertility rates","1974","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1974","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1974","35 - 39 years","Midland","%",""
"Age specific fertility rates","1974","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1974","35 - 39 years","South-East","%",""
"Age specific fertility rates","1974","35 - 39 years","South-West","%",""
"Age specific fertility rates","1974","35 - 39 years","West","%",""
"Age specific fertility rates","1974","35 - 39 years","Ireland","%","111.2"
"Age specific fertility rates","1974","40 - 44 years","Border","%",""
"Age specific fertility rates","1974","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1974","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1974","40 - 44 years","Midland","%",""
"Age specific fertility rates","1974","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1974","40 - 44 years","South-East","%",""
"Age specific fertility rates","1974","40 - 44 years","South-West","%",""
"Age specific fertility rates","1974","40 - 44 years","West","%",""
"Age specific fertility rates","1974","40 - 44 years","Ireland","%","39.9"
"Age specific fertility rates","1974","45 - 49 years","Border","%",""
"Age specific fertility rates","1974","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1974","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1974","45 - 49 years","Midland","%",""
"Age specific fertility rates","1974","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1974","45 - 49 years","South-East","%",""
"Age specific fertility rates","1974","45 - 49 years","South-West","%",""
"Age specific fertility rates","1974","45 - 49 years","West","%",""
"Age specific fertility rates","1974","45 - 49 years","Ireland","%","2.8"
"Age specific fertility rates","1975","All ages","Border","%",""
"Age specific fertility rates","1975","All ages","Dublin","%",""
"Age specific fertility rates","1975","All ages","Mid-East","%",""
"Age specific fertility rates","1975","All ages","Midland","%",""
"Age specific fertility rates","1975","All ages","Mid-West","%",""
"Age specific fertility rates","1975","All ages","South-East","%",""
"Age specific fertility rates","1975","All ages","South-West","%",""
"Age specific fertility rates","1975","All ages","West","%",""
"Age specific fertility rates","1975","All ages","Ireland","%",""
"Age specific fertility rates","1975","15 - 19 years","Border","%",""
"Age specific fertility rates","1975","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1975","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1975","15 - 19 years","Midland","%",""
"Age specific fertility rates","1975","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1975","15 - 19 years","South-East","%",""
"Age specific fertility rates","1975","15 - 19 years","South-West","%",""
"Age specific fertility rates","1975","15 - 19 years","West","%",""
"Age specific fertility rates","1975","15 - 19 years","Ireland","%","22.8"
"Age specific fertility rates","1975","20 - 24 years","Border","%",""
"Age specific fertility rates","1975","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1975","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1975","20 - 24 years","Midland","%",""
"Age specific fertility rates","1975","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1975","20 - 24 years","South-East","%",""
"Age specific fertility rates","1975","20 - 24 years","South-West","%",""
"Age specific fertility rates","1975","20 - 24 years","West","%",""
"Age specific fertility rates","1975","20 - 24 years","Ireland","%","138.5"
"Age specific fertility rates","1975","25 - 29 years","Border","%",""
"Age specific fertility rates","1975","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1975","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1975","25 - 29 years","Midland","%",""
"Age specific fertility rates","1975","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1975","25 - 29 years","South-East","%",""
"Age specific fertility rates","1975","25 - 29 years","South-West","%",""
"Age specific fertility rates","1975","25 - 29 years","West","%",""
"Age specific fertility rates","1975","25 - 29 years","Ireland","%","216"
"Age specific fertility rates","1975","30 - 34 years","Border","%",""
"Age specific fertility rates","1975","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1975","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1975","30 - 34 years","Midland","%",""
"Age specific fertility rates","1975","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1975","30 - 34 years","South-East","%",""
"Age specific fertility rates","1975","30 - 34 years","South-West","%",""
"Age specific fertility rates","1975","30 - 34 years","West","%",""
"Age specific fertility rates","1975","30 - 34 years","Ireland","%","162.2"
"Age specific fertility rates","1975","35 - 39 years","Border","%",""
"Age specific fertility rates","1975","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1975","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1975","35 - 39 years","Midland","%",""
"Age specific fertility rates","1975","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1975","35 - 39 years","South-East","%",""
"Age specific fertility rates","1975","35 - 39 years","South-West","%",""
"Age specific fertility rates","1975","35 - 39 years","West","%",""
"Age specific fertility rates","1975","35 - 39 years","Ireland","%","100.2"
"Age specific fertility rates","1975","40 - 44 years","Border","%",""
"Age specific fertility rates","1975","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1975","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1975","40 - 44 years","Midland","%",""
"Age specific fertility rates","1975","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1975","40 - 44 years","South-East","%",""
"Age specific fertility rates","1975","40 - 44 years","South-West","%",""
"Age specific fertility rates","1975","40 - 44 years","West","%",""
"Age specific fertility rates","1975","40 - 44 years","Ireland","%","36.8"
"Age specific fertility rates","1975","45 - 49 years","Border","%",""
"Age specific fertility rates","1975","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1975","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1975","45 - 49 years","Midland","%",""
"Age specific fertility rates","1975","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1975","45 - 49 years","South-East","%",""
"Age specific fertility rates","1975","45 - 49 years","South-West","%",""
"Age specific fertility rates","1975","45 - 49 years","West","%",""
"Age specific fertility rates","1975","45 - 49 years","Ireland","%","2.6"
"Age specific fertility rates","1976","All ages","Border","%",""
"Age specific fertility rates","1976","All ages","Dublin","%",""
"Age specific fertility rates","1976","All ages","Mid-East","%",""
"Age specific fertility rates","1976","All ages","Midland","%",""
"Age specific fertility rates","1976","All ages","Mid-West","%",""
"Age specific fertility rates","1976","All ages","South-East","%",""
"Age specific fertility rates","1976","All ages","South-West","%",""
"Age specific fertility rates","1976","All ages","West","%",""
"Age specific fertility rates","1976","All ages","Ireland","%",""
"Age specific fertility rates","1976","15 - 19 years","Border","%",""
"Age specific fertility rates","1976","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1976","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1976","15 - 19 years","Midland","%",""
"Age specific fertility rates","1976","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1976","15 - 19 years","South-East","%",""
"Age specific fertility rates","1976","15 - 19 years","South-West","%",""
"Age specific fertility rates","1976","15 - 19 years","West","%",""
"Age specific fertility rates","1976","15 - 19 years","Ireland","%","21.9"
"Age specific fertility rates","1976","20 - 24 years","Border","%",""
"Age specific fertility rates","1976","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1976","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1976","20 - 24 years","Midland","%",""
"Age specific fertility rates","1976","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1976","20 - 24 years","South-East","%",""
"Age specific fertility rates","1976","20 - 24 years","South-West","%",""
"Age specific fertility rates","1976","20 - 24 years","West","%",""
"Age specific fertility rates","1976","20 - 24 years","Ireland","%","133.7"
"Age specific fertility rates","1976","25 - 29 years","Border","%",""
"Age specific fertility rates","1976","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1976","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1976","25 - 29 years","Midland","%",""
"Age specific fertility rates","1976","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1976","25 - 29 years","South-East","%",""
"Age specific fertility rates","1976","25 - 29 years","South-West","%",""
"Age specific fertility rates","1976","25 - 29 years","West","%",""
"Age specific fertility rates","1976","25 - 29 years","Ireland","%","211.7"
"Age specific fertility rates","1976","30 - 34 years","Border","%",""
"Age specific fertility rates","1976","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1976","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1976","30 - 34 years","Midland","%",""
"Age specific fertility rates","1976","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1976","30 - 34 years","South-East","%",""
"Age specific fertility rates","1976","30 - 34 years","South-West","%",""
"Age specific fertility rates","1976","30 - 34 years","West","%",""
"Age specific fertility rates","1976","30 - 34 years","Ireland","%","162.2"
"Age specific fertility rates","1976","35 - 39 years","Border","%",""
"Age specific fertility rates","1976","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1976","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1976","35 - 39 years","Midland","%",""
"Age specific fertility rates","1976","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1976","35 - 39 years","South-East","%",""
"Age specific fertility rates","1976","35 - 39 years","South-West","%",""
"Age specific fertility rates","1976","35 - 39 years","West","%",""
"Age specific fertility rates","1976","35 - 39 years","Ireland","%","94.9"
"Age specific fertility rates","1976","40 - 44 years","Border","%",""
"Age specific fertility rates","1976","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1976","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1976","40 - 44 years","Midland","%",""
"Age specific fertility rates","1976","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1976","40 - 44 years","South-East","%",""
"Age specific fertility rates","1976","40 - 44 years","South-West","%",""
"Age specific fertility rates","1976","40 - 44 years","West","%",""
"Age specific fertility rates","1976","40 - 44 years","Ireland","%","34.8"
"Age specific fertility rates","1976","45 - 49 years","Border","%",""
"Age specific fertility rates","1976","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1976","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1976","45 - 49 years","Midland","%",""
"Age specific fertility rates","1976","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1976","45 - 49 years","South-East","%",""
"Age specific fertility rates","1976","45 - 49 years","South-West","%",""
"Age specific fertility rates","1976","45 - 49 years","West","%",""
"Age specific fertility rates","1976","45 - 49 years","Ireland","%","3.1"
"Age specific fertility rates","1977","All ages","Border","%",""
"Age specific fertility rates","1977","All ages","Dublin","%",""
"Age specific fertility rates","1977","All ages","Mid-East","%",""
"Age specific fertility rates","1977","All ages","Midland","%",""
"Age specific fertility rates","1977","All ages","Mid-West","%",""
"Age specific fertility rates","1977","All ages","South-East","%",""
"Age specific fertility rates","1977","All ages","South-West","%",""
"Age specific fertility rates","1977","All ages","West","%",""
"Age specific fertility rates","1977","All ages","Ireland","%",""
"Age specific fertility rates","1977","15 - 19 years","Border","%",""
"Age specific fertility rates","1977","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1977","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1977","15 - 19 years","Midland","%",""
"Age specific fertility rates","1977","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1977","15 - 19 years","South-East","%",""
"Age specific fertility rates","1977","15 - 19 years","South-West","%",""
"Age specific fertility rates","1977","15 - 19 years","West","%",""
"Age specific fertility rates","1977","15 - 19 years","Ireland","%","21.2"
"Age specific fertility rates","1977","20 - 24 years","Border","%",""
"Age specific fertility rates","1977","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1977","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1977","20 - 24 years","Midland","%",""
"Age specific fertility rates","1977","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1977","20 - 24 years","South-East","%",""
"Age specific fertility rates","1977","20 - 24 years","South-West","%",""
"Age specific fertility rates","1977","20 - 24 years","West","%",""
"Age specific fertility rates","1977","20 - 24 years","Ireland","%","130.4"
"Age specific fertility rates","1977","25 - 29 years","Border","%",""
"Age specific fertility rates","1977","25 - 29 years","Dublin","%",""
"Age specific fertility rates","1977","25 - 29 years","Mid-East","%",""
"Age specific fertility rates","1977","25 - 29 years","Midland","%",""
"Age specific fertility rates","1977","25 - 29 years","Mid-West","%",""
"Age specific fertility rates","1977","25 - 29 years","South-East","%",""
"Age specific fertility rates","1977","25 - 29 years","South-West","%",""
"Age specific fertility rates","1977","25 - 29 years","West","%",""
"Age specific fertility rates","1977","25 - 29 years","Ireland","%","205.5"
"Age specific fertility rates","1977","30 - 34 years","Border","%",""
"Age specific fertility rates","1977","30 - 34 years","Dublin","%",""
"Age specific fertility rates","1977","30 - 34 years","Mid-East","%",""
"Age specific fertility rates","1977","30 - 34 years","Midland","%",""
"Age specific fertility rates","1977","30 - 34 years","Mid-West","%",""
"Age specific fertility rates","1977","30 - 34 years","South-East","%",""
"Age specific fertility rates","1977","30 - 34 years","South-West","%",""
"Age specific fertility rates","1977","30 - 34 years","West","%",""
"Age specific fertility rates","1977","30 - 34 years","Ireland","%","166.7"
"Age specific fertility rates","1977","35 - 39 years","Border","%",""
"Age specific fertility rates","1977","35 - 39 years","Dublin","%",""
"Age specific fertility rates","1977","35 - 39 years","Mid-East","%",""
"Age specific fertility rates","1977","35 - 39 years","Midland","%",""
"Age specific fertility rates","1977","35 - 39 years","Mid-West","%",""
"Age specific fertility rates","1977","35 - 39 years","South-East","%",""
"Age specific fertility rates","1977","35 - 39 years","South-West","%",""
"Age specific fertility rates","1977","35 - 39 years","West","%",""
"Age specific fertility rates","1977","35 - 39 years","Ireland","%","93.9"
"Age specific fertility rates","1977","40 - 44 years","Border","%",""
"Age specific fertility rates","1977","40 - 44 years","Dublin","%",""
"Age specific fertility rates","1977","40 - 44 years","Mid-East","%",""
"Age specific fertility rates","1977","40 - 44 years","Midland","%",""
"Age specific fertility rates","1977","40 - 44 years","Mid-West","%",""
"Age specific fertility rates","1977","40 - 44 years","South-East","%",""
"Age specific fertility rates","1977","40 - 44 years","South-West","%",""
"Age specific fertility rates","1977","40 - 44 years","West","%",""
"Age specific fertility rates","1977","40 - 44 years","Ireland","%","33.2"
"Age specific fertility rates","1977","45 - 49 years","Border","%",""
"Age specific fertility rates","1977","45 - 49 years","Dublin","%",""
"Age specific fertility rates","1977","45 - 49 years","Mid-East","%",""
"Age specific fertility rates","1977","45 - 49 years","Midland","%",""
"Age specific fertility rates","1977","45 - 49 years","Mid-West","%",""
"Age specific fertility rates","1977","45 - 49 years","South-East","%",""
"Age specific fertility rates","1977","45 - 49 years","South-West","%",""
"Age specific fertility rates","1977","45 - 49 years","West","%",""
"Age specific fertility rates","1977","45 - 49 years","Ireland","%","3"
"Age specific fertility rates","1978","All ages","Border","%",""
"Age specific fertility rates","1978","All ages","Dublin","%",""
"Age specific fertility rates","1978","All ages","Mid-East","%",""
"Age specific fertility rates","1978","All ages","Midland","%",""
"Age specific fertility rates","1978","All ages","Mid-West","%",""
"Age specific fertility rates","1978","All ages","South-East","%",""
"Age specific fertility rates","1978","All ages","South-West","%",""
"Age specific fertility rates","1978","All ages","West","%",""
"Age specific fertility rates","1978","All ages","Ireland","%",""
"Age specific fertility rates","1978","15 - 19 years","Border","%",""
"Age specific fertility rates","1978","15 - 19 years","Dublin","%",""
"Age specific fertility rates","1978","15 - 19 years","Mid-East","%",""
"Age specific fertility rates","1978","15 - 19 years","Midland","%",""
"Age specific fertility rates","1978","15 - 19 years","Mid-West","%",""
"Age specific fertility rates","1978","15 - 19 years","South-East","%",""
"Age specific fertility rates","1978","15 - 19 years","South-West","%",""
"Age specific fertility rates","1978","15 - 19 years","West","%",""
"Age specific fertility rates","1978","15 - 19 years","Ireland","%","21.8"
"Age specific fertility rates","1978","20 - 24 years","Border","%",""
"Age specific fertility rates","1978","20 - 24 years","Dublin","%",""
"Age specific fertility rates","1978","20 - 24 years","Mid-East","%",""
"Age specific fertility rates","1978","20 - 24 years","Midland","%",""
"Age specific fertility rates","1978","20 - 24 years","Mid-West","%",""
"Age specific fertility rates","1978","20 - 24 years","South-East","%",""
