"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Chemicals and chemical products (20)","Base Year 2021=100","112.93"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Rubber and plastic products (22)","Base Year 2021=100","101.45"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Other non-metallic mineral products (23)","Base Year 2021=100","131.87"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Basic metals (24)","Base Year 2021=100","113.59"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","130.13"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Electrical equipment (27)","Base Year 2021=100","114.47"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","112.48"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Furniture (31)","Base Year 2021=100","121.61"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 February","Mining and quarrying (05 to 09)","Base Year 2021=100","101.02"
"Domestic Industrial Price Index (Excl VAT)","2025 February","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Food products (10)","Base Year 2021=100","135.91"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Textiles (13)","Base Year 2021=100","109.62"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Wearing apparel (14)","Base Year 2021=100","104.74"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Wood and wood products, except furniture (16)","Base Year 2021=100","106.44"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Paper and paper products (17)","Base Year 2021=100","106.36"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Chemicals and chemical products (20)","Base Year 2021=100","114.96"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Rubber and plastic products (22)","Base Year 2021=100","101.45"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Other non-metallic mineral products (23)","Base Year 2021=100","131.82"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Basic metals (24)","Base Year 2021=100","113.48"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","130.09"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Electrical equipment (27)","Base Year 2021=100","114.47"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","112.73"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Furniture (31)","Base Year 2021=100","121.61"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 March","Mining and quarrying (05 to 09)","Base Year 2021=100","101.02"
"Domestic Industrial Price Index (Excl VAT)","2025 March","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Food products (10)","Base Year 2021=100","136.15"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Textiles (13)","Base Year 2021=100","109.62"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Wearing apparel (14)","Base Year 2021=100","104.74"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Wood and wood products, except furniture (16)","Base Year 2021=100","106.39"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Paper and paper products (17)","Base Year 2021=100","108.24"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Chemicals and chemical products (20)","Base Year 2021=100","114.96"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Rubber and plastic products (22)","Base Year 2021=100","101.45"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Other non-metallic mineral products (23)","Base Year 2021=100","131.86"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Basic metals (24)","Base Year 2021=100","113.48"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","130.12"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Electrical equipment (27)","Base Year 2021=100","114.47"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","112.73"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Furniture (31)","Base Year 2021=100","121.61"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 April","Mining and quarrying (05 to 09)","Base Year 2021=100","101.03"
"Domestic Industrial Price Index (Excl VAT)","2025 April","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Food products (10)","Base Year 2021=100","135.8"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Textiles (13)","Base Year 2021=100","109.6"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Wood and wood products, except furniture (16)","Base Year 2021=100","106.4"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Paper and paper products (17)","Base Year 2021=100","108.4"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Chemicals and chemical products (20)","Base Year 2021=100","115"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Rubber and plastic products (22)","Base Year 2021=100","101.7"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Other non-metallic mineral products (23)","Base Year 2021=100","133.1"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Basic metals (24)","Base Year 2021=100","113.5"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","130.1"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Furniture (31)","Base Year 2021=100","121.6"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 May","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 May","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Food products (10)","Base Year 2021=100","135.8"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Textiles (13)","Base Year 2021=100","109.6"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Wood and wood products, except furniture (16)","Base Year 2021=100","106.9"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Paper and paper products (17)","Base Year 2021=100","107.3"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Chemicals and chemical products (20)","Base Year 2021=100","115"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Other non-metallic mineral products (23)","Base Year 2021=100","132.6"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Basic metals (24)","Base Year 2021=100","113.5"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","130.1"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113.3"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Furniture (31)","Base Year 2021=100","121.6"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 June","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 June","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Food products (10)","Base Year 2021=100","137.6"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Textiles (13)","Base Year 2021=100","109.6"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Wood and wood products, except furniture (16)","Base Year 2021=100","106.7"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Paper and paper products (17)","Base Year 2021=100","107.3"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Chemicals and chemical products (20)","Base Year 2021=100","117.3"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Other non-metallic mineral products (23)","Base Year 2021=100","132.6"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Basic metals (24)","Base Year 2021=100","113.5"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","131.8"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113.3"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Furniture (31)","Base Year 2021=100","123.8"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 July","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 July","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Food products (10)","Base Year 2021=100","137.8"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Textiles (13)","Base Year 2021=100","109.6"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Wood and wood products, except furniture (16)","Base Year 2021=100","106.7"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Paper and paper products (17)","Base Year 2021=100","106.3"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Chemicals and chemical products (20)","Base Year 2021=100","117.3"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Other non-metallic mineral products (23)","Base Year 2021=100","133"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Basic metals (24)","Base Year 2021=100","113.6"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","131.8"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113.3"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Furniture (31)","Base Year 2021=100","123.8"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 August","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 August","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Food products (10)","Base Year 2021=100","137.5"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Textiles (13)","Base Year 2021=100","108.3"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Wood and wood products, except furniture (16)","Base Year 2021=100","107.4"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Paper and paper products (17)","Base Year 2021=100","106.9"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Chemicals and chemical products (20)","Base Year 2021=100","117.3"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Other non-metallic mineral products (23)","Base Year 2021=100","134.3"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Basic metals (24)","Base Year 2021=100","112.8"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","131.8"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113.4"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Furniture (31)","Base Year 2021=100","123.8"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 September","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 September","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Food products (10)","Base Year 2021=100","137.4"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Textiles (13)","Base Year 2021=100","108.3"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Wood and wood products, except furniture (16)","Base Year 2021=100","107.3"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Paper and paper products (17)","Base Year 2021=100","109.6"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Chemicals and chemical products (20)","Base Year 2021=100","117.2"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Other non-metallic mineral products (23)","Base Year 2021=100","134.2"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Basic metals (24)","Base Year 2021=100","112.8"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","132.9"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113.4"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Furniture (31)","Base Year 2021=100","123.8"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 October","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 October","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Food products (10)","Base Year 2021=100","137.4"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Textiles (13)","Base Year 2021=100","108.3"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Wood and wood products, except furniture (16)","Base Year 2021=100","107"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Paper and paper products (17)","Base Year 2021=100","109.6"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Chemicals and chemical products (20)","Base Year 2021=100","117.2"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Other non-metallic mineral products (23)","Base Year 2021=100","134.2"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Basic metals (24)","Base Year 2021=100","112.8"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","132.9"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Electrical equipment (27)","Base Year 2021=100","114.5"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","113.4"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Furniture (31)","Base Year 2021=100","123.8"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 November","Mining and quarrying (05 to 09)","Base Year 2021=100","101"
"Domestic Industrial Price Index (Excl VAT)","2025 November","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Food products (10)","Base Year 2021=100","137.3"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Textiles (13)","Base Year 2021=100","108.6"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Wearing apparel (14)","Base Year 2021=100","104.7"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Wood and wood products, except furniture (16)","Base Year 2021=100","107.1"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Paper and paper products (17)","Base Year 2021=100","111.5"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Chemicals and chemical products (20)","Base Year 2021=100","117.2"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2025 December","Rubber and plastic products (22)","Base Year 2021=100","101.8"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Other non-metallic mineral products (23)","Base Year 2021=100","134.7"
"Domestic Industrial Price Index (Excl VAT)","2025 December","Basic metals (24)","Base Year 2021=100","112.8"
