"Statistic Label","Month","Industry Sector NACE Rev 2","UNIT","VALUE"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Chemicals and chemical products (20)","Base Year 2021=100","97.02466439"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Rubber and plastic products (22)","Base Year 2021=100","99.65981295"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Other non-metallic mineral products (23)","Base Year 2021=100","98.33943494"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Basic metals (24)","Base Year 2021=100","95.34179451"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Fabricated metal products, except machinery and equipment (25)","Base Year 2021=100","99.54179483"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Computer, electronic and optical products (26)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Electrical equipment (27)","Base Year 2021=100","98.78746555"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Machinery and equipment n.e.c. (28)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Motor vehicles, trailers and semi-trailers (29)","Base Year 2021=100","99.6323566"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Other transport equipment (30)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Furniture (31)","Base Year 2021=100","97.94602192"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Other manufacturing (32)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 May","Mining and quarrying (05 to 09)","Base Year 2021=100","99.85087074"
"Domestic Industrial Price Index (Excl VAT)","2021 May","Repair and installation of machinery and equipment (33)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Food products (10)","Base Year 2021=100","99.55921048"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Manufacture of beverages (11)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Tobacco products (12)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Textiles (13)","Base Year 2021=100","100.8394077"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Wearing apparel (14)","Base Year 2021=100","100.1616687"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Leather and related products (15)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Wood and wood products, except furniture (16)","Base Year 2021=100","98.93606185"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Paper and paper products (17)","Base Year 2021=100","99.46726894"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Printing and reproduction of recorded media (18)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Coke and refined petroleum products (19)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Chemicals and chemical products (20)","Base Year 2021=100","97.02489935"
"Domestic Industrial Price Index (Excl VAT)","2021 June","Basic pharmaceutical products and preparations (21)","Base Year 2021=100",""
"Domestic Industrial Price Index (Excl VAT)","2021 June","Rubber and plastic products (22)","Base Year 2021=100","99.98754365"
