"Statistic Label","Year","Sector of Activity","Size of Enterprise","UNIT","VALUE"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","615"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","545"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1985"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","14778"
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2017","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","17923"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","241"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","190"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","6029"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","46510"
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2017","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","52971"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","549"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1329"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","8161"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","19114"
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","29152"
"Value of Exports","2017","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","2415"
"Value of Exports","2017","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","2657"
"Value of Exports","2017","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","1822"
"Value of Exports","2017","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","2302"
"Value of Exports","2017","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2017","Wholesale and Retail (45-47)","All Enterprises","Euro Million","9196"
"Value of Exports","2017","Services/other (49-98)","Micro (0 to 9)","Euro Million","3658"
"Value of Exports","2017","Services/other (49-98)","Small (10 to 49)","Euro Million","579"
"Value of Exports","2017","Services/other (49-98)","Medium (50 to 249)","Euro Million","5166"
"Value of Exports","2017","Services/other (49-98)","Large (250 or more)","Euro Million","278"
"Value of Exports","2017","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2017","Services/other (49-98)","All Enterprises","Euro Million","9681"
"Value of Exports","2017","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2017","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2017","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2017","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2017","Unknown","Unknown","Euro Million","2837"
"Value of Exports","2017","Unknown","All Enterprises","Euro Million","2837"
"Value of Exports","2017","All sectors","Micro (0 to 9)","Euro Million","7478"
"Value of Exports","2017","All sectors","Small (10 to 49)","Euro Million","5300"
"Value of Exports","2017","All sectors","Medium (50 to 249)","Euro Million","23162"
"Value of Exports","2017","All sectors","Large (250 or more)","Euro Million","82983"
"Value of Exports","2017","All sectors","Unknown","Euro Million","2837"
"Value of Exports","2017","All sectors","All Enterprises","Euro Million","121759"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","399"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","562"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1906"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","14887"
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2018","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","17754"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","87"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","182"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","10623"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","58546"
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2018","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","69438"
"Value of Exports","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","539"
"Value of Exports","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1183"
"Value of Exports","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","8734"
"Value of Exports","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","18446"
"Value of Exports","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","28902"
"Value of Exports","2018","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","2511"
"Value of Exports","2018","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","3139"
"Value of Exports","2018","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","1834"
"Value of Exports","2018","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","2908"
"Value of Exports","2018","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2018","Wholesale and Retail (45-47)","All Enterprises","Euro Million","10391"
"Value of Exports","2018","Services/other (49-98)","Micro (0 to 9)","Euro Million","3994"
"Value of Exports","2018","Services/other (49-98)","Small (10 to 49)","Euro Million","499"
"Value of Exports","2018","Services/other (49-98)","Medium (50 to 249)","Euro Million","2852"
"Value of Exports","2018","Services/other (49-98)","Large (250 or more)","Euro Million","1297"
"Value of Exports","2018","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2018","Services/other (49-98)","All Enterprises","Euro Million","8643"
"Value of Exports","2018","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2018","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2018","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2018","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2018","Unknown","Unknown","Euro Million","4473"
"Value of Exports","2018","Unknown","All Enterprises","Euro Million","4473"
"Value of Exports","2018","All sectors","Micro (0 to 9)","Euro Million","7531"
"Value of Exports","2018","All sectors","Small (10 to 49)","Euro Million","5565"
"Value of Exports","2018","All sectors","Medium (50 to 249)","Euro Million","25948"
"Value of Exports","2018","All sectors","Large (250 or more)","Euro Million","96084"
"Value of Exports","2018","All sectors","Unknown","Euro Million","4473"
"Value of Exports","2018","All sectors","All Enterprises","Euro Million","139600"
"Value of Exports","2019","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","563"
"Value of Exports","2019","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","548"
"Value of Exports","2019","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1973"
"Value of Exports","2019","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","15016"
"Value of Exports","2019","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2019","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","18100"
"Value of Exports","2019","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","84"
"Value of Exports","2019","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","223"
"Value of Exports","2019","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","7042"
"Value of Exports","2019","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","68299"
"Value of Exports","2019","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2019","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","75648"
"Value of Exports","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","870"
"Value of Exports","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1232"
"Value of Exports","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","8974"
"Value of Exports","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","22344"
"Value of Exports","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2019","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","33420"
"Value of Exports","2019","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","2515"
"Value of Exports","2019","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","3137"
"Value of Exports","2019","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","2193"
"Value of Exports","2019","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","3018"
"Value of Exports","2019","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2019","Wholesale and Retail (45-47)","All Enterprises","Euro Million","10863"
"Value of Exports","2019","Services/other (49-98)","Micro (0 to 9)","Euro Million","3680"
"Value of Exports","2019","Services/other (49-98)","Small (10 to 49)","Euro Million","798"
"Value of Exports","2019","Services/other (49-98)","Medium (50 to 249)","Euro Million","2674"
"Value of Exports","2019","Services/other (49-98)","Large (250 or more)","Euro Million","913"
"Value of Exports","2019","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2019","Services/other (49-98)","All Enterprises","Euro Million","8064"
"Value of Exports","2019","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2019","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2019","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2019","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2019","Unknown","Unknown","Euro Million","5421"
"Value of Exports","2019","Unknown","All Enterprises","Euro Million","5421"
"Value of Exports","2019","All sectors","Micro (0 to 9)","Euro Million","7711"
"Value of Exports","2019","All sectors","Small (10 to 49)","Euro Million","5937"
"Value of Exports","2019","All sectors","Medium (50 to 249)","Euro Million","22857"
"Value of Exports","2019","All sectors","Large (250 or more)","Euro Million","109589"
"Value of Exports","2019","All sectors","Unknown","Euro Million","5421"
"Value of Exports","2019","All sectors","All Enterprises","Euro Million","151516"
"Value of Exports","2020","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","942"
"Value of Exports","2020","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","481"
"Value of Exports","2020","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1532"
"Value of Exports","2020","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","11005"
"Value of Exports","2020","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2020","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","13960"
"Value of Exports","2020","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","103"
"Value of Exports","2020","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","321"
"Value of Exports","2020","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","5274"
"Value of Exports","2020","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","83284"
"Value of Exports","2020","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2020","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","88983"
"Value of Exports","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","641"
"Value of Exports","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1304"
"Value of Exports","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","4496"
"Value of Exports","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","24426"
"Value of Exports","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2020","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","30867"
"Value of Exports","2020","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","2611"
"Value of Exports","2020","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","3194"
"Value of Exports","2020","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","2075"
"Value of Exports","2020","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","2228"
"Value of Exports","2020","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2020","Wholesale and Retail (45-47)","All Enterprises","Euro Million","10108"
"Value of Exports","2020","Services/other (49-98)","Micro (0 to 9)","Euro Million","3498"
"Value of Exports","2020","Services/other (49-98)","Small (10 to 49)","Euro Million","1655"
"Value of Exports","2020","Services/other (49-98)","Medium (50 to 249)","Euro Million","2608"
"Value of Exports","2020","Services/other (49-98)","Large (250 or more)","Euro Million","935"
"Value of Exports","2020","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2020","Services/other (49-98)","All Enterprises","Euro Million","8696"
"Value of Exports","2020","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2020","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2020","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2020","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2020","Unknown","Unknown","Euro Million","5280"
"Value of Exports","2020","Unknown","All Enterprises","Euro Million","5280"
"Value of Exports","2020","All sectors","Micro (0 to 9)","Euro Million","7796"
"Value of Exports","2020","All sectors","Small (10 to 49)","Euro Million","6954"
"Value of Exports","2020","All sectors","Medium (50 to 249)","Euro Million","15985"
"Value of Exports","2020","All sectors","Large (250 or more)","Euro Million","121878"
"Value of Exports","2020","All sectors","Unknown","Euro Million","5280"
"Value of Exports","2020","All sectors","All Enterprises","Euro Million","157893"
"Value of Exports","2021","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","471"
"Value of Exports","2021","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","597"
"Value of Exports","2021","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","1830"
"Value of Exports","2021","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","11821"
"Value of Exports","2021","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2021","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","14719"
"Value of Exports","2021","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","171"
"Value of Exports","2021","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","374"
"Value of Exports","2021","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","3974"
"Value of Exports","2021","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","78755"
"Value of Exports","2021","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2021","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","83274"
"Value of Exports","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","1360"
"Value of Exports","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1757"
"Value of Exports","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","5411"
"Value of Exports","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","28727"
"Value of Exports","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2021","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","37256"
"Value of Exports","2021","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","3253"
"Value of Exports","2021","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","3512"
"Value of Exports","2021","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","2974"
"Value of Exports","2021","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","3141"
"Value of Exports","2021","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2021","Wholesale and Retail (45-47)","All Enterprises","Euro Million","12880"
"Value of Exports","2021","Services/other (49-98)","Micro (0 to 9)","Euro Million","2868"
"Value of Exports","2021","Services/other (49-98)","Small (10 to 49)","Euro Million","2214"
"Value of Exports","2021","Services/other (49-98)","Medium (50 to 249)","Euro Million","2380"
"Value of Exports","2021","Services/other (49-98)","Large (250 or more)","Euro Million","1902"
"Value of Exports","2021","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2021","Services/other (49-98)","All Enterprises","Euro Million","9364"
"Value of Exports","2021","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2021","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2021","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2021","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2021","Unknown","Unknown","Euro Million","3682"
"Value of Exports","2021","Unknown","All Enterprises","Euro Million","3682"
"Value of Exports","2021","All sectors","Micro (0 to 9)","Euro Million","8124"
"Value of Exports","2021","All sectors","Small (10 to 49)","Euro Million","8453"
"Value of Exports","2021","All sectors","Medium (50 to 249)","Euro Million","16569"
"Value of Exports","2021","All sectors","Large (250 or more)","Euro Million","124346"
"Value of Exports","2021","All sectors","Unknown","Euro Million","3682"
"Value of Exports","2021","All sectors","All Enterprises","Euro Million","161174"
"Value of Exports","2022","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Euro Million","604"
"Value of Exports","2022","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Euro Million","1091"
"Value of Exports","2022","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Euro Million","2251"
"Value of Exports","2022","Agriculture and Food (01-03,10-11)","Large (250 or more)","Euro Million","14551"
"Value of Exports","2022","Agriculture and Food (01-03,10-11)","Unknown","Euro Million",""
"Value of Exports","2022","Agriculture and Food (01-03,10-11)","All Enterprises","Euro Million","18498"
"Value of Exports","2022","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Euro Million","811"
"Value of Exports","2022","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Euro Million","927"
"Value of Exports","2022","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Euro Million","4070"
"Value of Exports","2022","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Euro Million","106215"
"Value of Exports","2022","Chemicals and Pharmaceuticals (20-21)","Unknown","Euro Million",""
"Value of Exports","2022","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Euro Million","112023"
"Value of Exports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Euro Million","1164"
"Value of Exports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Euro Million","1783"
"Value of Exports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Euro Million","6783"
"Value of Exports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Euro Million","35053"
"Value of Exports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Euro Million",""
"Value of Exports","2022","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Euro Million","44783"
"Value of Exports","2022","Wholesale and Retail (45-47)","Micro (0 to 9)","Euro Million","4069"
"Value of Exports","2022","Wholesale and Retail (45-47)","Small (10 to 49)","Euro Million","3751"
"Value of Exports","2022","Wholesale and Retail (45-47)","Medium (50 to 249)","Euro Million","3129"
"Value of Exports","2022","Wholesale and Retail (45-47)","Large (250 or more)","Euro Million","3807"
"Value of Exports","2022","Wholesale and Retail (45-47)","Unknown","Euro Million",""
"Value of Exports","2022","Wholesale and Retail (45-47)","All Enterprises","Euro Million","14756"
"Value of Exports","2022","Services/other (49-98)","Micro (0 to 9)","Euro Million","3534"
"Value of Exports","2022","Services/other (49-98)","Small (10 to 49)","Euro Million","1781"
"Value of Exports","2022","Services/other (49-98)","Medium (50 to 249)","Euro Million","2559"
"Value of Exports","2022","Services/other (49-98)","Large (250 or more)","Euro Million","1317"
"Value of Exports","2022","Services/other (49-98)","Unknown","Euro Million",""
"Value of Exports","2022","Services/other (49-98)","All Enterprises","Euro Million","9191"
"Value of Exports","2022","Unknown","Micro (0 to 9)","Euro Million",""
"Value of Exports","2022","Unknown","Small (10 to 49)","Euro Million",""
"Value of Exports","2022","Unknown","Medium (50 to 249)","Euro Million",""
"Value of Exports","2022","Unknown","Large (250 or more)","Euro Million",""
"Value of Exports","2022","Unknown","Unknown","Euro Million","4183"
"Value of Exports","2022","Unknown","All Enterprises","Euro Million","4183"
"Value of Exports","2022","All sectors","Micro (0 to 9)","Euro Million","10183"
"Value of Exports","2022","All sectors","Small (10 to 49)","Euro Million","9334"
"Value of Exports","2022","All sectors","Medium (50 to 249)","Euro Million","18791"
"Value of Exports","2022","All sectors","Large (250 or more)","Euro Million","160943"
"Value of Exports","2022","All sectors","Unknown","Euro Million","4183"
"Value of Exports","2022","All sectors","All Enterprises","Euro Million","203433"
"Number of Exporting Enterprises","2017","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","335"
"Number of Exporting Enterprises","2017","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","178"
"Number of Exporting Enterprises","2017","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","109"
"Number of Exporting Enterprises","2017","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","45"
"Number of Exporting Enterprises","2017","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Exporting Enterprises","2017","Agriculture and Food (01-03,10-11)","All Enterprises","Number","667"
"Number of Exporting Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","65"
"Number of Exporting Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","54"
"Number of Exporting Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","47"
"Number of Exporting Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","34"
"Number of Exporting Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Exporting Enterprises","2017","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","200"
"Number of Exporting Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","1005"
"Number of Exporting Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","720"
"Number of Exporting Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","313"
"Number of Exporting Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","90"
"Number of Exporting Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
"Number of Exporting Enterprises","2017","Other Manufacturing and Construction (05-09, 12-19, 22-43)","All Enterprises","Number","2128"
"Number of Exporting Enterprises","2017","Wholesale and Retail (45-47)","Micro (0 to 9)","Number","2521"
"Number of Exporting Enterprises","2017","Wholesale and Retail (45-47)","Small (10 to 49)","Number","1024"
"Number of Exporting Enterprises","2017","Wholesale and Retail (45-47)","Medium (50 to 249)","Number","207"
"Number of Exporting Enterprises","2017","Wholesale and Retail (45-47)","Large (250 or more)","Number","48"
"Number of Exporting Enterprises","2017","Wholesale and Retail (45-47)","Unknown","Number",""
"Number of Exporting Enterprises","2017","Wholesale and Retail (45-47)","All Enterprises","Number","3800"
"Number of Exporting Enterprises","2017","Services/other (49-98)","Micro (0 to 9)","Number","1176"
"Number of Exporting Enterprises","2017","Services/other (49-98)","Small (10 to 49)","Number","406"
"Number of Exporting Enterprises","2017","Services/other (49-98)","Medium (50 to 249)","Number","157"
"Number of Exporting Enterprises","2017","Services/other (49-98)","Large (250 or more)","Number","74"
"Number of Exporting Enterprises","2017","Services/other (49-98)","Unknown","Number",""
"Number of Exporting Enterprises","2017","Services/other (49-98)","All Enterprises","Number","1813"
"Number of Exporting Enterprises","2017","Unknown","Micro (0 to 9)","Number",""
"Number of Exporting Enterprises","2017","Unknown","Small (10 to 49)","Number",""
"Number of Exporting Enterprises","2017","Unknown","Medium (50 to 249)","Number",""
"Number of Exporting Enterprises","2017","Unknown","Large (250 or more)","Number",""
"Number of Exporting Enterprises","2017","Unknown","Unknown","Number","25"
"Number of Exporting Enterprises","2017","Unknown","All Enterprises","Number","25"
"Number of Exporting Enterprises","2017","All sectors","Micro (0 to 9)","Number","5102"
"Number of Exporting Enterprises","2017","All sectors","Small (10 to 49)","Number","2382"
"Number of Exporting Enterprises","2017","All sectors","Medium (50 to 249)","Number","833"
"Number of Exporting Enterprises","2017","All sectors","Large (250 or more)","Number","291"
"Number of Exporting Enterprises","2017","All sectors","Unknown","Number","25"
"Number of Exporting Enterprises","2017","All sectors","All Enterprises","Number","8633"
"Number of Exporting Enterprises","2018","Agriculture and Food (01-03,10-11)","Micro (0 to 9)","Number","351"
"Number of Exporting Enterprises","2018","Agriculture and Food (01-03,10-11)","Small (10 to 49)","Number","189"
"Number of Exporting Enterprises","2018","Agriculture and Food (01-03,10-11)","Medium (50 to 249)","Number","106"
"Number of Exporting Enterprises","2018","Agriculture and Food (01-03,10-11)","Large (250 or more)","Number","48"
"Number of Exporting Enterprises","2018","Agriculture and Food (01-03,10-11)","Unknown","Number",""
"Number of Exporting Enterprises","2018","Agriculture and Food (01-03,10-11)","All Enterprises","Number","694"
"Number of Exporting Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Micro (0 to 9)","Number","70"
"Number of Exporting Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Small (10 to 49)","Number","48"
"Number of Exporting Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Medium (50 to 249)","Number","49"
"Number of Exporting Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Large (250 or more)","Number","34"
"Number of Exporting Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","Unknown","Number",""
"Number of Exporting Enterprises","2018","Chemicals and Pharmaceuticals (20-21)","All Enterprises","Number","201"
"Number of Exporting Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Micro (0 to 9)","Number","1052"
"Number of Exporting Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Small (10 to 49)","Number","709"
"Number of Exporting Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Medium (50 to 249)","Number","330"
"Number of Exporting Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Large (250 or more)","Number","88"
"Number of Exporting Enterprises","2018","Other Manufacturing and Construction (05-09, 12-19, 22-43)","Unknown","Number",""
